order_id,customer_id,order_date,product_id,category,quantity,price,discount
10107,201,2/24/2003,501,Electronics,30,95.7,8
10121,202,5/7/2003,502,Clothing,34,81.35,10
10134,203,7/1/2003,501,Electronics,41,94.74,5
10145,204,8/25/2003,503,Books,45,83.26,7
10159,205,10/10/2003,504,Home,49,100,5
10168,206,10/28/2003,501,Electronics,36,96.66,8
10180,207,11/11/2003,502,Clothing,29,86.13,10
10188,208,11/18/2003,501,Electronics,48,100,5
10201,209,12/1/2003,503,Books,22,98.57,7
10211,210,1/15/2004,504,Home,41,100,5
10223,211,2/20/2004,501,Electronics,37,100,8
10237,212,4/5/2004,502,Clothing,23,100,10
10251,213,5/18/2004,501,Electronics,28,100,5
10263,214,6/28/2004,503,Books,34,100,7
10275,215,7/23/2004,504,Home,45,92.83,5
10285,216,8/27/2004,501,Electronics,36,100,8
10299,217,9/30/2004,502,Clothing,23,100,10
10309,218,10/15/2004,501,Electronics,41,100,5
10318,219,11/2/2004,503,Books,46,94.74,7
10329,220,11/15/2004,504,Home,42,100,5
10341,221,11/24/2004,501,Electronics,41,100,8
10361,222,12/17/2004,502,Clothing,20,72.55,10
10375,223,2/3/2005,501,Electronics,21,34.91,5
10388,224,3/3/2005,503,Books,42,76.36,7
10403,225,4/8/2005,504,Home,24,100,5
10417,226,5/13/2005,501,Electronics,66,100,8
10103,227,1/29/2003,502,Clothing,26,100,10
10112,228,3/24/2003,501,Electronics,29,100,5
10126,229,5/28/2003,503,Books,38,100,7
10140,230,7/24/2003,504,Home,37,100,5
10150,231,9/19/2003,501,Electronics,45,100,8
10163,232,10/20/2003,502,Clothing,21,100,10
10174,233,11/6/2003,501,Electronics,34,100,5
10183,234,11/13/2003,503,Books,23,100,7
10194,235,11/25/2003,504,Home,42,100,5
10206,236,12/5/2003,501,Electronics,47,100,8
10215,237,1/29/2004,502,Clothing,35,100,10
10228,238,3/10/2004,501,Electronics,29,100,5
10245,239,5/4/2004,503,Books,34,100,7
10258,240,6/15/2004,504,Home,32,100,5
10270,241,7/19/2004,501,Electronics,21,100,8
10280,242,8/17/2004,502,Clothing,34,100,10
10291,243,9/8/2004,501,Electronics,37,100,5
10304,244,10/11/2004,503,Books,47,100,7
10312,245,10/21/2004,504,Home,48,100,5
10322,246,11/4/2004,501,Electronics,40,100,8
10333,247,11/18/2004,502,Clothing,26,100,10
10347,248,11/29/2004,501,Electronics,30,100,5
10357,249,12/10/2004,503,Books,32,100,7
10369,250,1/20/2005,504,Home,41,100,5
10381,251,2/17/2005,501,Electronics,36,100,8
10391,252,3/9/2005,502,Clothing,24,100,10
10411,253,5/1/2005,501,Electronics,23,100,5
10424,254,5/31/2005,503,Books,50,100,7
10107,255,2/24/2003,504,Home,39,99.91,5
10120,256,4/29/2003,501,Electronics,29,96.34,8
10134,257,7/1/2003,502,Clothing,27,100,10
10145,258,8/25/2003,501,Electronics,37,100,5
10159,259,10/10/2003,503,Books,37,100,7
10168,260,10/28/2003,504,Home,27,100,5
10180,261,11/11/2003,501,Electronics,42,100,8
10188,262,11/18/2003,502,Clothing,38,96.34,10
10201,263,12/1/2003,501,Electronics,24,100,5
10210,264,1/12/2004,503,Books,23,100,7
10223,265,2/20/2004,504,Home,47,100,5
10236,266,4/3/2004,501,Electronics,22,100,8
10251,267,5/18/2004,502,Clothing,44,100,10
10263,268,6/28/2004,501,Electronics,40,100,5
10275,269,7/23/2004,503,Books,22,100,7
10285,270,8/27/2004,504,Home,47,100,5
10298,271,9/27/2004,501,Electronics,39,96.34,8
10308,272,10/15/2004,502,Clothing,34,100,10
10318,273,11/2/2004,501,Electronics,45,100,5
10329,274,11/15/2004,503,Books,20,100,7
10339,275,11/23/2004,504,Home,40,68.92,5
10361,276,12/17/2004,501,Electronics,26,51.15,8
10374,277,2/2/2005,502,Clothing,39,100,10
10388,278,3/3/2005,501,Electronics,50,44.51,5
10402,279,4/7/2005,503,Books,45,100,7
10417,280,5/13/2005,504,Home,45,100,5
10107,281,2/24/2003,501,Electronics,27,100,8
10120,282,4/29/2003,502,Clothing,46,100,10
10134,283,7/1/2003,501,Electronics,31,100,5
10145,284,8/25/2003,503,Books,33,100,7
10159,285,10/10/2003,504,Home,22,100,5
10168,286,10/28/2003,501,Electronics,20,100,8
10180,287,11/11/2003,502,Clothing,41,100,10
10188,288,11/18/2003,501,Electronics,45,100,5
10201,289,12/1/2003,503,Books,49,100,7
10210,290,1/12/2004,504,Home,34,100,5
10223,291,2/20/2004,501,Electronics,49,100,8
10237,292,4/5/2004,502,Clothing,39,100,10
10251,293,5/18/2004,501,Electronics,43,100,5
10263,294,6/28/2004,503,Books,41,100,7
10275,295,7/23/2004,504,Home,36,100,5
10285,296,8/27/2004,501,Electronics,27,100,8
10299,297,9/30/2004,502,Clothing,29,100,10
10308,298,10/15/2004,501,Electronics,20,100,5
10318,299,11/2/2004,503,Books,37,100,7
10329,300,11/15/2004,504,Home,26,100,5
10339,301,11/23/2004,501,Electronics,39,76.67,8
10362,302,1/5/2005,502,Clothing,22,100,10
10374,303,2/2/2005,501,Electronics,22,100,5
10388,304,3/3/2005,503,Books,21,86.77,7
10403,305,4/8/2005,504,Home,66,100,5
10417,306,5/13/2005,501,Electronics,56,100,8
10105,307,2/11/2003,502,Clothing,50,100,10
10119,308,4/28/2003,501,Electronics,46,100,5
10129,309,6/12/2003,503,Books,33,100,7
10143,310,8/10/2003,504,Home,49,100,5
10155,311,10/6/2003,501,Electronics,32,100,8
10167,312,10/23/2003,502,Clothing,44,100,10
10178,313,11/8/2003,501,Electronics,24,100,5
10186,314,11/14/2003,503,Books,26,100,7
10197,315,11/26/2003,504,Home,45,100,5
10209,316,1/9/2004,501,Electronics,39,100,8
10222,317,2/19/2004,502,Clothing,49,100,10
10248,318,5/7/2004,501,Electronics,20,100,5
10261,319,6/17/2004,503,Books,27,100,7
10273,320,7/21/2004,504,Home,30,100,5
10283,321,8/20/2004,501,Electronics,25,100,8
10295,322,9/10/2004,502,Clothing,24,100,10
10307,323,10/14/2004,501,Electronics,22,100,5
10316,324,11/1/2004,503,Books,33,100,7
10325,325,11/5/2004,504,Home,47,64.93,5
10337,326,11/21/2004,501,Electronics,25,48.05,8
10350,327,12/2/2004,502,Clothing,26,75.47,10
10359,328,12/15/2004,501,Electronics,48,54.68,5
10373,329,1/31/2005,503,Books,39,100,7
10384,330,2/23/2005,504,Home,34,100,5
10395,331,3/17/2005,501,Electronics,32,100,8
10400,332,4/1/2005,502,Clothing,64,100,10
10414,333,5/6/2005,501,Electronics,19,100,5
10103,334,1/29/2003,503,Books,42,100,7
10114,335,4/1/2003,504,Home,31,100,5
10126,336,5/28/2003,501,Electronics,22,100,8
10140,337,7/24/2003,502,Clothing,26,100,10
10150,338,9/19/2003,501,Electronics,20,100,5
10164,339,10/21/2003,503,Books,21,100,7
10175,340,11/6/2003,504,Home,33,100,5
10183,341,11/13/2003,501,Electronics,28,100,8
10194,342,11/25/2003,502,Clothing,26,100,10
10207,343,12/9/2003,501,Electronics,31,100,5
10217,344,2/4/2004,503,Books,48,100,7
10229,345,3/11/2004,504,Home,50,100,5
10245,346,5/4/2004,501,Electronics,28,100,8
10259,347,6/15/2004,502,Clothing,26,100,10
10270,348,7/19/2004,501,Electronics,32,100,5
10281,349,8/19/2004,503,Books,44,100,7
10291,350,9/8/2004,504,Home,30,100,5
10305,351,10/13/2004,501,Electronics,38,100,8
10313,352,10/22/2004,502,Clothing,40,100,10
10322,353,11/4/2004,501,Electronics,46,61.99,5
10334,354,11/19/2004,503,Books,26,100,7
10347,355,11/29/2004,504,Home,27,100,5
10357,356,12/10/2004,501,Electronics,43,100,8
10370,357,1/20/2005,502,Clothing,35,65.63,10
10381,358,2/17/2005,501,Electronics,37,100,5
10391,359,3/9/2005,503,Books,37,46.9,7
10411,360,5/1/2005,504,Home,27,100,5
10425,361,5/31/2005,501,Electronics,38,100,8
10108,362,3/3/2003,502,Clothing,33,100,10
10122,363,5/8/2003,501,Electronics,42,100,5
10135,364,7/2/2003,503,Books,42,100,7
10147,365,9/5/2003,504,Home,48,100,5
10159,366,10/10/2003,501,Electronics,41,100,8
10169,367,11/4/2003,502,Clothing,30,100,10
10181,368,11/12/2003,501,Electronics,27,100,5
10191,369,11/20/2003,503,Books,21,100,7
10203,370,12/2/2003,504,Home,20,100,5
10211,371,1/15/2004,501,Electronics,41,100,8
10225,372,2/22/2004,502,Clothing,27,100,10
10238,373,4/9/2004,501,Electronics,28,100,5
10253,374,6/1/2004,503,Books,24,100,7
10266,375,7/6/2004,504,Home,44,100,5
10276,376,8/2/2004,501,Electronics,50,100,8
10287,377,8/30/2004,502,Clothing,21,100,10
10300,378,10/4/2003,501,Electronics,33,100,5
10310,379,10/16/2004,503,Books,33,100,7
10320,380,11/3/2004,504,Home,31,100,5
10329,381,11/15/2004,501,Electronics,41,71.47,8
